# data from an Aranet4 and two SenseAir S8 sensors over the course of a day
time,Aranet4,S8a,S8b
6:00,525,498,559
6:24,496,469,526
7:05,527,480,537
7:28,544,504,568
8:18,520,490,558
8:35,620,567,631
9:06,680,627,688
10:11,769,722,789
10:34,804,753,817
11:19,843,792,862
11:33,898,843,905
12:15,965,915,976
12:32,994,932,1000
13:07,1026,960,1023
14:40,1069,1011,1084
14:49,1098,1032,1112
16:11,1179,1098,1172
16:29,1168,1108,1177
17:08,1216,1137,1209
17:14,1228,1150,1218
17:39,892,846,934
18:00,685,684,740
18:21,568,537,602
18:46,578,524,591
19:38,517,474,537
20:12,487,457,518
21:20,627,587,650
22:03,646,600,657
22:54,637,599,660
